original,filter1,filter2
1702.0,1701.5305910903248,1700.953945414986
1702.0,1701.9455556250766,1701.9017291400262
1704.0,1702.6663242739298,1702.2052569912582
1702.0,1703.180914053201,1702.7371196666952
1701.0,1702.1785700472838,1702.9040107215096
1701.0,1700.9187075240243,1702.0073126556608
1701.0,1700.7977893482994,1700.91167242218
1702.0,1701.306840802653,1700.7747817894774
1703.0,1702.206266738173,1701.4889790162315
1702.0,1702.7047137541247,1702.3344267202747
1702.0,1702.2575034414758,1702.6363242397827
1704.0,1702.4648766726011,1702.4360285744765
1705.0,1704.0060719258524,1702.8261283459292
1708.0,1706.0207448360316,1704.414127172895
1705.0,1706.9278904103576,1706.2444671262497
1706.0,1705.9964407488353,1706.8206719199934
1708.0,1706.133692393188,1706.2669015155514
1705.0,1706.8792903273966,1706.1940058435225
1705.0,1705.6841687928877,1706.4159360646113
1705.0,1704.677564755092,1705.6519100806142
1703.0,1704.2968287554183,1704.562619895497
1703.0,1703.2979618291713,1703.8832871995196
1704.0,1703.0703925805344,1703.3068886679773
1704.0,1703.8275574886936,1703.2193438703362
1705.0,1704.4523886366283,1703.8781304743288
1703.0,1704.322479676294,1704.442887412819
1705.0,1703.9223823808816,1704.319581615345
1705.0,1704.5304576723543,1704.1283647500602
1706.0,1705.4777831721499,1704.6660023692762
1707.0,1706.2521336024613,1705.6586435458723
1706.0,1706.6753846802872,1706.4214360791957
1707.0,1706.5425271505044,1706.6869494400148
1705.0,1706.1770155273139,1706.495160287488
1707.0,1705.9069170568846,1706.1174705651515
1706.0,1706.2625221558276,1705.9892548069179
1705.0,1706.0159705081874,1706.111041446563
1703.0,1704.4904922248397,1705.6459652589097
1703.0,1703.0683277058565,1704.2427098363705
1702.0,1702.4513787446274,1702.861917196066
1703.0,1702.4024903814197,1702.3104160157209
1702.0,1702.508342088583,1702.3689875191524
1703.0,1702.5167300056246,1702.513754350785
1707.0,1703.9630348179435,1702.9632347166696
1707.0,1706.5976346482203,1704.559735587453
