value,filter
3492.887199,3483.33621
3488.873557,3485.414147
3488.947619,3487.481082
3496.658824,3489.245184
3490.848011,3491.061633
3482.959468,3491.613673
3486.358459,3490.267872
3481.314118,3488.087934
3473.217563,3485.154446
3475.517143,3481.423948
3480.28944,3478.45701
3487.14395,3477.867138
3492.593697,3480.031958
3490.304174,3483.792967
3487.192913,3487.046948
3482.330812,3488.311478
3480.913081,3487.452109
3486.75535,3485.822718
3492.40014,3485.388425
3492.733445,3486.74277
3492.086387,3488.852125
3485.34479,3490.184434
3487.786415,3490.048031
3494.207339,3489.649917
3500.946331,3490.736719
3499.67028,3493.399464
3494.880728,3495.953644
3490.994286,3496.779438
3483.595238,3495.322427
3483.262297,3492.033374
3479.856218,3488.101726
3479.952549,3484.49018
3479.105406,3481.711337
3480.365406,3480.003229
3483.417059,3479.516699
3479.351261,3479.888148
3473.295854,3479.76241
3478.851625,3478.748927
3484.611653,3478.372048
3482.604398,3479.376104
3480.662913,3480.666079
3490.133613,3481.96754
3491.378011,3484.153257
3497.061961,3487.304386
3506.141569,3491.467032
3503.948852,3496.384501
3507.92423,3500.871532
3511.626246,3504.608312
3508.213361,3507.56451
3518.415014,3509.87828
3521.727059,3512.672058
3520.751653,3515.979353
3519.909412,3518.64126
3520.8793,3520.204511
3528.449552,3521.477125
3535.705658,3523.862579
3544.819888,3528.168151
3546.376723,3533.928702
3543.297479,3539.352677
3549.432577,3543.27765
3546.259888,3545.930754
3538.453193,3546.802179
3534.17112,3545.146927
3529.516078,3541.476973
3526.646359,3536.855138
3519.380336,3531.896139
3520.592213,3527.043908
3523.176246,3523.392655
3522.027171,3521.575202
3519.328768,3520.842395
3516.621401,3520.130878
3505.852101,3518.346412
3501.528936,3514.673378
3505.724566,3510.185134
3509.598291,3507.10711
3509.918207,3506.268947
3516.105098,3507.303358
3516.773725,3509.733023
3514.770756,3512.45551
3518.860308,3514.615032
3517.086639,3516.256446
3517.31409,3517.293014
3514.895266,3517.548092
3517.640084,3517.285915
3521.348824,3517.338272
3523.090732,3518.309343
