value,filter
3589.8,-7.504067454
3590,-7.386229408
3591.8,-7.252368736
3592.2,-7.104358249
3592.2,-6.940139708
3592.6,-6.757511944
3591.6,-6.556340332
3592.6,-6.338992526
3593.2,-6.108272577
3592.2,-5.865960986
3593.4,-5.61434703
3594.6,-5.355028989
3593.4,-5.087290247
3594.4,-4.810849552
3594.8,-4.526622639
3592.4,-4.236620424
3593.2,-3.94684708
3594.2,-3.665163241
3594,-3.395936746
3594.2,-3.140408176
3594,-2.899322335
3594.2,-2.673516288
3594.2,-2.463622304
3594.4,-2.269733205
3594.6,-2.091201982
3594.6,-1.926687327
3594.6,-1.774645995
3592.6,-1.635211483
3592,-1.512910385
3592.8,-1.415215612
3591,-1.348441344
3593.4,-1.316194976
3593.4,-1.317200673
3593.2,-1.344914256
3593.2,-1.391737906
3591,-1.452847836
3593.2,-1.526760752
3593,-1.611258579
3593,-1.700917754
3593.2,-1.789768528
3593.4,-1.872634045
3592,-1.945758808
3593.6,-2.007734792
3593.6,-2.05711134
3593.8,-2.09062503
3593.8,-2.105006285
3593.6,-2.098516449
3593.6,-2.071237025
3592.8,-2.025304146
3593.6,-1.964527738
3593.6,-1.892493994
3592.8,-1.811944942
3592.8,-1.726595759
3592.8,-1.641202425
3592.6,-1.560002506
3593.6,-1.485648818
3592.8,-1.418688919
3592.2,-1.359395907
3593.2,-1.309178703
3592,-1.269129588
3592,-1.2402815
3592,-1.224473329
3592.8,-1.222400783
3591.2,-1.23302811
3593.2,-1.254945466
3591.4,-1.286086624
3591.4,-1.324827358
3592.8,-1.370586273
3593,-1.420312066
3593,-1.467884009
3591.2,-1.508606517
3592.6,-1.541829812
3592,-1.568380593
3592,-1.588432179
3592.8,-1.601873458
3592,-1.608026286
3592.8,-1.606039958
3593,-1.594900477
3593,-1.572760833
3591,-1.53930254
3591.2,-1.498795055
3591.2,-1.458322718
3591.2,-1.423741822
3591,-1.398734959
3590.6,-1.385921167
3590,-1.387940266
3590.2,-1.407628978
3590,-1.446870703
3590,-1.505847764
3590,-1.583312973
3590,-1.676863427
3590,-1.783206969
3590,-1.89855189
3589,-2.019615152
3589,-2.144996193
3588,-2.275331921
3587.8,-2.412732104
3588.6,-2.559190765
3587.2,-2.71493665
3587.8,-2.879470757
3587.2,-3.052322994
3587,-3.232605567
3587,-3.419287298
3586.4,-3.611257707
3586.2,-3.807658117
3586.2,-4.007961599
3586.4,-4.210906395
3587,-4.413396605
3587,-4.610281915
3587,-4.795594779
3587.2,-4.964033266
3586.2,-5.111972792
3586.2,-5.238640655
3587.6,-5.344694185
3586.8,-5.429224615
3589,-5.489311857
3587,-5.521230618
3589.8,-5.521760617
3586.6,-5.489215428
3589.4,-5.424487904
3586.6,-5.330927926
3586.8,-5.214792854
3587,-5.085358713
3587,-4.95131931
3587.2,-4.818710055
3587.2,-4.691531713
3588.6,-4.571303415
3587.2,-4.457024608
