value,filter
3589.8,3590.208171
3590,3590.249048
3591.8,3590.289028
3592.2,3590.32811
3592.2,3590.366318
3592.6,3590.403687
3591.6,3590.440253
3592.6,3590.47605
3593.2,3590.511109
3592.2,3590.545474
3593.4,3590.579189
3594.6,3590.612304
3593.4,3590.644886
3594.4,3590.677006
3594.8,3590.708734
3592.4,3590.740137
3593.2,3590.771263
3594.2,3590.802144
3594,3590.832819
3594.2,3590.863338
3594,3590.893749
3594.2,3590.924099
3594.2,3590.954429
3594.4,3590.98478
3594.6,3591.015194
3594.6,3591.045713
3594.6,3591.076379
3592.6,3591.107224
3592,3591.13825
3592.8,3591.169433
3591,3591.200737
3593.4,3591.232121
3593.4,3591.263558
3593.2,3591.295039
3593.2,3591.326562
3591,3591.358113
3593.2,3591.389661
3593,3591.421175
3593,3591.45264
3593.2,3591.484047
3593.4,3591.515389
3592,3591.546659
3593.6,3591.577841
3593.6,3591.608923
3593.8,3591.639907
3593.8,3591.670802
3593.6,3591.701618
3593.6,3591.732361
3592.8,3591.76303
3593.6,3591.793619
3593.6,3591.824119
3592.8,3591.854525
3592.8,3591.884826
3592.8,3591.915001
3592.6,3591.945026
3593.6,3591.974881
3592.8,3592.004549
3592.2,3592.034017
3593.2,3592.06326
3592,3592.092255
3592,3592.120973
3592,3592.149377
3592.8,3592.17743
3591.2,3592.205102
3593.2,3592.232362
3591.4,3592.259181
3591.4,3592.285528
3592.8,3592.311369
3593,3592.336679
3593,3592.361454
3591.2,3592.385692
3592.6,3592.409375
3592,3592.432482
3592,3592.454994
3592.8,3592.476898
3592,3592.498183
3592.8,3592.518843
3593,3592.538877
3593,3592.558293
3591,3592.577098
3591.2,3592.595276
3591.2,3592.612793
3591.2,3592.629613
3591,3592.645703
3590.6,3592.661029
3590.2,3592.675551
3590,3592.689224
3590,3592.701997
3590,3592.713819
3590,3592.724645
3590,3592.734433
3590,3592.743146
3590,3592.75075
3589,3592.757211
3589,3592.76249
3588,3592.766534
3587.8,3592.769283
3588.6,3592.770671
3587.2,3592.770635
3587.8,3592.769116
3587.2,3592.766052
3587,3592.761381
3587,3592.755041
3586.4,3592.746973
3586.2,3592.737114
3586.2,3592.725401
3586.4,3592.711774
3587,3592.696186
3587,3592.678604
3587,3592.65901
3587.2,3592.637394
3586.2,3592.613752
3586.2,3592.588071
3587.6,3592.560343
3586.8,3592.530572
3589,3592.498781
3587,3592.46501
3589.8,3592.429314
3586.6,3592.39175
3589.4,3592.352378
3586.6,3592.311254
3586.8,3592.268423
3587,3592.223915
3587,3592.177754
3587.2,3592.129974
3587.2,3592.080613
3588.6,3592.029719
3587.2,3591.977352
3588.6,3591.923579
3588.6,3591.868471
3586.8,3591.812106
3587,3591.754542
3586.8,3591.695823
3588.6,3591.635992
3588.6,3591.575113
3588,3591.513268
3588.6,3591.450537
3586.6,3591.386994
3588.6,3591.3227
3588.6,3591.25772
3588.6,3591.19213
3589.6,3591.126018
3589.6,3591.059481
3589.6,3590.992622
3588.2,3590.925543
3588,3590.85832
3589.4,3590.79102
3588,3590.723706
3589.2,3590.656445
3589.2,3590.589306
3589,3590.522362
3589,3590.455685
3589.4,3590.389343
3590,3590.32341
3590,3590.257964
3589.4,3590.193089
3590.8,3590.128862
3591,3590.065369
3591.2,3590.002706
3590.8,3589.940972
3590,3589.880256
3590.8,3589.820631
3589,3589.762157
3591,3589.704885
3590,3589.648861
3591,3589.594138
3591.2,3589.540771
3591.2,3589.488824
3593.8,3589.438368
3594,3589.389501
3593,3589.342341
3593,3589.296998
3594,3589.253566
3594.4,3589.21214
3594.8,3589.172825
3595,3589.135729
3595,3589.100959
3593.6,3589.06861
3595.6,3589.038761
3594.6,3589.011486
3595.2,3588.986856
3595,3588.964939
3595.2,3588.945794
3595.2,3588.929473
3595,3588.916024
3594,3588.905478
3594,3588.897847
3593.8,3588.893126
3594.6,3588.891299
3594.2,3588.892352
3594.8,3588.896272
3594,3588.903045
3594.8,3588.91265
3593,3588.925058
3593,3588.940219
3592.4,3588.958066
3592,3588.97851
3591,3589.001452
3591,3589.02677
3590.8,3589.054335
3591.4,3589.084016
3590.8,3589.115687
3591,3589.149223
3593,3589.184511
3592,3589.221457
3592,3589.259981
3592,3589.299999
3592,3589.341426
3591.4,3589.384175
3591.4,3589.428154
3591.4,3589.473266
3594.4,3589.519425
3594.8,3589.566584
3594.2,3589.61473
3590.8,3589.663844
3591.4,3589.713862
3591.4,3589.764691
3594,3589.81624
3591.4,3589.868445
3592.6,3589.921246
3592.6,3589.97458
3592.6,3590.028386
3592.6,3590.082612
3594,3590.13721
3593.6,3590.192147
3593.6,3590.247401
3594.2,3590.302953
3592.6,3590.358781
3592.6,3590.414851
3594,3590.47112
3594,3590.527553
3594.2,3590.584134
3595,3590.640853
3595,3590.697715
3595,3590.754727
3595,3590.811901
3595,3590.869244
3594.4,3590.926758
3595.2,3590.984441
3594,3591.042286
3594.8,3591.100278
3594.8,3591.158404
3595.2,3591.216652
3595,3591.275018
3594.4,3591.333494
3594.6,3591.392067
3592.6,3591.450706
3592.8,3591.50936
3594.6,3591.567969
3594.6,3591.626487
3593.4,3591.684885
3593.4,3591.743131
3593.2,3591.801177
3593.6,3591.85897
3593.2,3591.916463
3594.2,3591.973611
3594.2,3592.030381
3594.2,3592.086748
3594.2,3592.142694
3593.2,3592.198197
3594.2,3592.253227
3594.2,3592.307756
3594.2,3592.361763
3593.4,3592.415231
3593,3592.46813
3593.4,3592.520422
3592.6,3592.572063
3593.4,3592.623009
3594.4,3592.673224
3594.4,3592.722691
3594.4,3592.771408
3594.6,3592.819378
3594.6,3592.866606
3594.6,3592.913099
