value,filter,filter
3589.8,3589.985679,0.634156576
3590,3589.905422,0.830141698
3591.8,3589.839118,2.500008779
3592.2,3589.787366,2.639629197
3592.2,3589.751822,2.367192102
3592.6,3589.734144,2.484075302
3591.6,3589.735301,1.2524996
3592.6,3589.755361,2.033341104
3593.2,3589.794047,2.328922896
3592.2,3589.85119,1.066945808
3593.4,3589.926276,2.008884039
3594.6,3590.018817,2.821090966
3593.4,3590.128895,1.258479379
3594.4,3590.256392,1.932471673
3594.8,3590.400737,1.944080132
3592.4,3590.560913,-0.695002883
3593.2,3590.734492,-0.017727131
3594.2,3590.918177,0.762005621
3594,3591.109419,0.311494067
3594.2,3591.306444,0.281802639
3594,3591.507546,-0.127892604
3594.2,3591.710933,-0.118415426
3594.2,3591.914837,-0.302769562
3594.4,3592.117644,-0.281008593
3594.6,3592.31799,-0.26538786
3594.6,3592.514794,-0.443052685
3594.6,3592.70714,-0.601955582
3592.6,3592.893703,-2.621194929
3592,3593.071833,-3.072782768
3592.8,3593.237845,-2.137855048
3591,3593.38821,-3.742864741
3593.4,3593.520076,-1.189410332
3593.4,3593.632067,-1.185010613
3593.2,3593.724594,-1.362358898
3593.2,3593.798737,-1.32273999
3591,3593.855088,-3.345580082
3593.2,3593.893478,-0.973730665
3593,3593.914152,-1.129152719
3593,3593.918575,-1.070321484
3593.2,3593.908717,-0.822721823
3593.4,3593.886642,-0.598083315
3592,3593.854282,-1.897741829
3593.6,3593.813079,-0.211911822
3593.6,3593.764641,-0.225283914
3593.8,3593.71129,-0.046655503
3593.8,3593.655542,-0.075633484
3593.6,3593.599603,-0.287468853
3593.6,3593.545206,-0.283314157
3592.8,3593.493443,-1.027735242
3593.6,3593.444788,-0.172824003
3593.6,3593.399612,-0.167495715
3592.8,3593.358364,-0.911408654
3592.8,3593.321008,-0.80788028
3592.8,3593.286949,-0.708840255
3592.6,3593.255475,-0.802134819
3593.6,3593.226108,0.250548751
3592.8,3593.198818,-0.511158633
3592.2,3593.173534,-0.989099642
3593.2,3593.149705,0.101660344
3592,3593.12673,-1.000690915
3592,3593.103895,-0.835936419
3592,3593.080112,-0.681648342
3592.8,3593.054512,0.213714959
3591.2,3593.02669,-1.249054607
3593.2,3592.996353,0.854078512
3591.4,3592.963438,-0.862879982
3591.4,3592.927803,-0.677097514
3592.8,3592.889035,0.809863576
3593,3592.847538,0.991638645
3593,3592.804825,0.959912043
3591.2,3592.762225,-0.762638982
3592.6,3592.72001,0.731899539
3592,3592.678058,0.169205269
3592,3592.636475,0.237959767
3592.8,3592.595491,1.050845322
3592,3592.555564,0.259973395
3592.8,3592.517264,1.06556722
3593,3592.481279,1.206939825
3593,3592.448628,1.136863081
3591,3592.419938,-0.809807675
3591.2,3592.39441,-0.452843369
3591.2,3592.370197,-0.320640436
3591.2,3592.345561,-0.199725407
3591,3592.319206,-0.277419911
3590.6,3592.289998,-0.529634706
3590,3592.256655,-0.933792307
3590.2,3592.217693,-0.52968625
3590,3592.171782,-0.542515714
3590,3592.118026,-0.359362563
3590,3592.055945,-0.192445808
3590,3591.985458,-0.04102195
3590,3591.906853,0.095642536
3590,3591.82071,0.218270461
3589,3591.727617,-0.611518466
3589,3591.627723,-0.396851376
3588,3591.520626,-1.140744198
3587.8,3591.405474,-1.033920759
3588.6,3591.281409,0.010422781
3587.2,3591.148091,-1.131163772
3587.8,3591.005432,-0.247721279
3587.2,3590.853386,-0.589906946
3587,3590.692085,-0.50778247
3587,3590.521771,-0.239761484
3586.4,3590.342778,-0.560974434
3586.2,3590.155434,-0.460260449
3586.2,3589.960022,-0.17589853
3586.4,3589.757101,0.26838554
3587,3589.547889,1.038214973
3587,3589.334396,1.150184774
3587,3589.119114,1.244361763
3587.2,3588.904584,1.509687792
3586.2,3588.693052,0.60893096
3586.2,3588.486027,0.752251601
3587.6,3588.284616,2.190751568
3586.8,3588.090411,1.379715056
3589,3587.905672,3.47370571
3587,3587.733018,1.352057448
3589.8,3587.575032,3.97967033
3586.6,3587.433911,0.633316567
3589.4,3587.311068,3.311953457
3586.6,3587.207058,0.390190532
3586.8,3587.12133,0.626908537
3587,3587.052055,0.829919276
3587,3586.997137,0.813709363
3587.2,3586.954874,0.979735572
3587.2,3586.923851,0.929396958
3588.6,3586.903155,2.190945251
3587.2,3586.892494,0.655528621
3588.6,3586.891695,1.923461488
3588.6,3586.900665,1.709755786
3586.8,3586.919272,-0.185071414
3587,3586.946286,0.019961365
3586.8,3586.979377,-0.178475752
3588.6,3587.01651,1.522580582
3588.6,3587.057027,1.317460912
3588,3587.101264,0.559398509
3588.6,3587.149434,1.009470427
3586.6,3587.201074,-1.04708286
3588.6,3587.255025,0.899056502
3588.6,3587.310358,0.726170683
3588.6,3587.367096,0.563807692
3589.6,3587.425778,1.350870646
3589.6,3587.487325,1.090979558
3589.6,3587.552929,0.848522159
3588.2,3587.623202,-0.691716072
3588,3587.697403,-0.923410256
3589.4,3587.773976,0.376435617
3588,3587.851684,-1.114647759
3589.2,3587.929621,0.01521184
3589.2,3588.007113,-0.120340221
3589,3588.08395,-0.431740473
3589,3588.159987,-0.520208531
3589.4,3588.234951,-0.223488501
3590,3588.308881,0.222993072
3590,3588.382363,0.046962319
3589.4,3588.456089,-0.676783164
3590.8,3588.530502,0.56352716
3591,3588.606371,0.521642053
3591.2,3588.685086,0.476091843
3590.8,3588.767996,-0.135923941
3590,3588.855627,-1.05518221
3590.8,3588.947536,-0.360252766
3589,3589.042619,-2.190958322
3591,3589.139368,-0.224936828
3590,3589.236483,-1.310736599
3591,3589.333257,-0.384223025
3591.2,3589.429462,-0.31919756
3591.2,3589.525337,-0.450858009
3593.8,3589.621832,1.874548867
3594,3589.7213,1.653948583
3593,3589.82694,0.316177462
3593,3589.940931,0.068878796
3594,3590.064148,0.785050275
3594.4,3590.197331,0.842939513
