value,filter
3574.4,1.3847928009546133
3574.4,1.2180780946598284
3574.4,1.4621809246676842
3574.0,1.4237385708909782
3575.0,1.4005665650985233
3575.0,1.9705247966098152
3575.0,2.399730342119311
3575.4,2.3354808531652713
3575.0,2.4169277174306685
3575.4,2.523217313877108
3575.4,2.5767307403623874
3575.4,2.7388790970415755
3575.6,2.8026008780039913
3576.4,3.076669767964822
3576.2,3.6102153264195653
3576.8,3.8424326549839996
3577.6,4.158428938134346
3576.8,4.622079844683538
3578.0,4.607286604232089
3576.8,4.533671216959267
3577.4,4.42912962058565
3576.8,4.141485396240933
3577.6,4.18466320049389
3577.4,4.474717675534856
3577.8,4.639478307494458
3578.0,4.7429063007709305
3578.4,5.011673339483926
3577.8,5.104992014058579
3578.8,4.968987214867441
3577.8,5.02545937013019
3580.0,5.328341895619865
3580.0,6.171588180742925
3580.0,6.816165235404462
3577.8,5.880268365417937
3579.0,4.535323565279351
3579.0,4.745655619568229
3579.0,5.461950182548891
3579.0,5.196435192115418
3577.6,4.527137062971241
3577.6,3.77630457168863
3578.4,3.526831653457857
3577.4,3.930703324274133
3577.4,3.6028470362820397
3577.4,2.988280962075284
3578.0,3.2802786510192803
3578.0,3.7757102120153943
3578.6,3.928436261715468
3577.6,3.8727167397176285
3578.8,3.706640358749327
3579.0,4.065375411789454
3578.2,4.427372232341331
3579.6,4.152341121884318
3579.8,4.560745826881665
3580.0,5.341009592234886
3579.8,5.174228899189685
3580.0,4.833241090725317
3578.8,4.6158756828532335
3580.0,4.208644021028477
3580.2,4.488986929729825
3581.0,5.309673998369894
3581.8,5.82297660445284
3582.0,6.266141770415243
3581.6,6.36276706665545
3581.0,5.722821879430708
3582.0,5.304551372090881
3581.0,5.509147730537356
3581.2,5.258467582675643
3581.2,4.74444018408541
3581.8,4.955134145249671
3581.4,5.243973977494896
3580.8,4.7839242201352
3580.2,3.921625246909075
3581.4,3.67318928715727
3581.4,4.3181005541256745
3580.0,4.311665454166472
3581.0,3.346665506830523
3581.0,3.3721655878207457
3581.4,4.092699595718057
3581.4,4.090899047852784
3581.4,3.888306860627797
3581.8,3.960488699102102
3581.6,4.048357641867748
3580.8,3.7146424105768325
3581.6,3.1986204587578615
3581.6,3.3827851516287937
3581.8,3.7773393258576866
3582.0,3.706363127850689
3582.0,3.6646708500319467
3582.2,3.7355521414437343
3582.4,3.7517339467406927
3582.6,3.8475621266469497
3582.8,3.9592951417461846
3582.8,3.973378721128295
3582.4,3.7730437563051598
3583.0,3.533505846826018
3582.8,3.620416297103866
3582.8,3.651103471902414
3582.4,3.2724091898977714
3582.6,2.9363147029837458
3582.6,2.9144661237933405
3582.6,2.9270755345396027
3582.8,2.837183817908582
3583.0,2.8754997510708664
3584.2,3.2847913411065255
3585.0,4.130181417755035
3585.0,4.785979381602133
3586.0,4.90438500668587
3585.8,5.10711807014707
3587.0,5.480494351632411
3588.8,6.288961915961459
3588.6,7.448953006650837
3590.0,7.861868314367864
3590.8,8.183822453232871
3591.2,8.97266601644408
3590.8,8.981357745181931
3594.0,9.069476979303385
3595.0,10.866322985975275
3594.8,12.19968833883447
3596.0,11.687720144523501
3596.6,11.74013557520498
3596.6,12.40796668412772
3595.0,11.60338047748866
3595.0,9.932738775899102
3593.8,8.926396817009996
3590.8,7.479634549274358
3590.8,4.9999542605482
3591.0,4.006852632931409
3591.0,4.621187481692054
3591.0,4.528980886559628
3590.8,3.9305884683217887
3593.6,4.3947371884308355
3591.0,5.257319292028158
3597.2,5.7998967070748915
3597.8,8.187288252878094
3594.4,9.602797521250242
3592.6,6.071519809764816
3596.8,3.9870744030132093
3591.4,5.626571622387606
3592.8,4.213506232539895
3592.8,1.9626710448730946
3591.0,2.5467348217280446
3591.0,1.8081264514999937
3590.6,0.25052538196493934
3590.8,0.36582613402328223
3592.0,0.8296677443126009
3590.8,0.9415764638162268
3591.0,0.4475136069627661
3590.0,-0.37762923458421394
3590.0,-0.9170214776676092
3590.4,-1.1137978150786254
3590.4,-0.9296995918921019
3590.6,-0.8157543347900088
3590.4,-0.9970879595688762
3590.6,-1.1529417971886118
3591.0,-1.089523018540746
3591.0,-0.8912189856189918
3591.0,-0.9194917544345212
3592.6,-0.7392158457845204
3590.4,-0.4452271151429954
3591.0,-1.26463532942449
3590.4,-2.152808719327997
3592.4,-1.596862450173051
3592.6,-0.45222332462273956
3590.4,-0.5802274784233916
3590.4,-2.3030704803143918
3591.0,-3.0349740952246016
3591.0,-2.179761053782093
3592.4,-1.6425301861750514
3592.6,-1.2087624873470257
3592.6,-0.7467127845329284
3592.6,-0.9736377283976434
3592.0,-1.4281513971350321
3592.8,-1.6069630528129244
3592.6,-1.4427108801468829
3593.0,-1.271505815761302
3592.2,-1.5221999793022232
3592.2,-2.0584326590655477
3592.0,-2.441927252465139
3592.2,-2.4962728208620524
3592.0,-2.521379454068965
3592.0,-2.7043508614595284
3591.8,-2.9227685284103186
3591.8,-3.0978605166229327
3591.8,-3.2135580371545034
3591.8,-3.2698163708972254
3590.6,-3.6347953382471516
3590.4,-4.497920853789829
3592.2,-4.566715150143724
3590.4,-3.77921659930737
3590.2,-4.353115744211401
3590.8,-5.3589268148005305
3591.4,-4.652584363849485
3591.4,-3.802152781824082
3591.0,-4.105920182359989
3590.8,-4.623975155650142
3590.8,-4.784550936707457
3590.8,-4.777529838310719
3590.8,-4.793085352512085
3591.6,-4.628593403287045
3590.8,-4.365994571188978
3590.8,-4.64615390616496
3591.2,-4.9682934053990895
3591.2,-4.626781689192951
3591.2,-4.413393405051595
3592.2,-4.358753981079502
3592.6,-3.695520105240049
3592.8,-3.070919806578099
3593.0,-3.0514949976767864
3592.2,-3.2760751470646587
3592.0,-3.7629138061719263
3593.2,-3.8975878080937196
3593.2,-3.1332805990231662
3592.4,-2.9255770819964377
3593.2,-3.571409831303756
3593.4,-3.3862252893479603
3593.2,-2.8261295062049347
3593.8,-2.9447916628079414
3594.0,-2.8345693515780535
3592.8,-2.7471385227329406
3594.6,-3.113281794842404
3594.8,-2.506922795145439
3594.6,-1.665478338633661
3594.6,-2.07788657290977
3594.4,-2.5420136395102224
3594.4,-2.502368819428507
3592.6,-3.0548246349264847
3592.6,-4.269590236248474
3593.0,-4.692425845381763
3592.8,-4.156499255837957
3593.8,-3.8501431473669903
3594.4,-3.4129344098844308
3594.4,-2.7212141233728
3593.8,-2.850907066595161
3594.6,-3.2949508441206303
3593.8,-3.1698026347790615
3593.8,-3.287857313060665
3593.8,-3.7358528593534652
3593.8,-3.7080127558537384
3593.8,-3.588152333958396
3594.6,-3.4979072685588064
3594.0,-3.2046936580850254
3593.2,-3.534442476253216
3593.0,-4.4487303071941895
3593.2,-4.700691598417794
3594.4,-4.063161710766985
3593.0,-3.624016944813764
3593.8,-4.05467398478014
3592.4,-4.5614091090418905
3592.4,-4.934754733247518
3592.0,-5.433155532156962
3592.2,-5.531547569569003
3592.0,-5.390692660082934
3591.4,-5.592356476729526
3591.4,-6.017447710077773
3591.4,-6.1175066292333895
3591.6,-5.870958362523654
3591.6,-5.690565625068143
3592.2,-5.487745389035943
3592.4,-5.042500549947464
3592.4,-4.703867189298525
3592.4,-4.725888469862306
3593.0,-4.617976913630583
3592.4,-4.328538185854713
3592.8,-4.386455317347956
3592.8,-4.432257729863186
3592.6,-4.2455868800425725
3592.4,-4.381202326099322
3593.0,-4.478349411302874
3593.0,-4.064003757396694
3592.8,-3.8439632778567385
3592.8,-4.093103365933214
3592.8,-4.171032258216292
3593.0,-3.980780720363743
3593.0,-3.8369011697406443
3593.6,-3.639949668900995
3593.8,-3.2217599325479216
3594.2,-2.8105382058656385
3594.4,-2.5586921869752506
3594.6,-2.3412757985788866
3593.4,-2.5042987286032092
3593.4,-3.2373595880338852
3594.8,-3.2601511143024644
3594.8,-2.146636167438793
3594.6,-1.714760348789406
3594.8,-2.1959256907548435
3593.8,-2.4412611588792332
3594.0,-2.7439663551517985
3594.2,-2.9446973632515983
3594.2,-2.621086770084715
3593.2,-2.7376704147025115
3594.2,-3.2322367097281957
3594.8,-2.733641853068857
3595.0,-1.7600246125632617
3593.8,-1.9359468712117347
3593.4,-2.9890409334706938
3593.4,-3.518166033900695
3593.4,-3.324924538774956
3593.4,-3.1943442877653796
3594.2,-3.054799620620902
3593.2,-2.786161709515418
3594.6,-2.7515038794957274
3593.2,-2.693104512760412
3593.2,-2.964408134965636
3593.0,-3.543515701715037
3593.0,-3.5358895548663996
3593.2,-3.2966839658173863
3593.2,-3.2150313812019418
3593.0,-3.175775509707317
3593.0,-3.2632189871770017
3592.8,-3.350070952644952
3592.8,-3.3759950503873366
3592.4,-3.475250845985664
3592.4,-3.653131668110415
3592.0,-3.800171041671855
3592.0,-3.9174534646194514
3591.6,-4.050445152000388
3591.6,-4.178915956459327
3592.4,-3.991564705838554
3591.2,-3.679918023050566
3593.6,-3.4774195366733704
3592.0,-2.885857975992108
3592.0,-2.9005506321220325
3592.0,-3.6467072057934216
3591.8,-3.5738795095981173
3591.2,-3.463375227687552
3591.2,-3.9766747438487826
3591.0,-4.129801968937578
3591.2,-3.9103746254158662
3591.0,-3.8136309432737208
3591.2,-3.7734050583232404
3591.8,-3.468436105996977
3592.0,-2.88536952347434
3592.0,-2.5356488013937515
3592.2,-2.506130974789175
3591.4,-2.5747561585751826
3591.2,-2.946246696647817
3592.6,-2.921905406163875
3592.4,-1.9697545094059408
3591.2,-1.8165525779853529
3592.0,-2.6988946744715543
3591.8,-2.5905610669276586
3593.2,-1.6458098739798754
3593.4,-0.8954478813735224
3591.8,-0.8771078779180354
3591.6,-1.9432092689241356
3593.4,-2.1528143551431964
3593.4,-0.6612848510989453
3593.6,0.09294016309137311
3593.4,-0.3425168227686144
3593.2,-0.5028903961432
3593.6,-0.3771487114730566
3592.0,-0.613343772152013
3593.6,-1.0244334680637124
3593.6,-0.5266426718863814
3594.2,0.40385212205661497
3593.8,0.4861314916225143
3593.6,0.14251140140376098
3594.8,0.272775058741369
3592.2,0.3593835298996284
3593.0,-0.6167277379574949
3592.4,-1.2744901605293864
3592.2,-0.9741688399884205
3592.0,-1.1818241194975814
3592.0,-1.510883829508257
3592.0,-1.3451723186386988
3591.2,-1.4291185486980478
3592.0,-1.719359188294152
3591.2,-1.6021292378057896
3592.0,-1.4102863002138601
3592.0,-1.2205898988171369
3592.0,-0.8875860895010099
3591.4,-1.0054221260872407
3591.2,-1.4855857528241287
3591.4,-1.6154377169988168
3591.2,-1.4003001226696423
3591.6,-1.253318142372792
3591.0,-1.2352470324692812
3590.4,-1.5415993863860133
3590.2,-2.1033722944090187
3591.4,-1.9501950803087962
3591.2,-1.0573331813051001
3590.2,-0.9918428923531898
3590.2,-1.8822561368703004
3590.2,-2.1072757121970347
3590.2,-1.6874546011937228
3590.2,-1.6066828573259138
3590.0,-1.6942116745155569
3590.4,-1.578960303405745
3590.2,-1.3387672877580719
3591.4,-0.9472912393879455
3591.8,-0.16164770972316048
3592.0,0.5550645920389023
3592.0,0.6483863099199313
3592.0,0.5782389112244992
3591.6,0.5572604861802368
3591.4,0.3081388075133297
3590.8,-0.06772358632351562
3590.6,-0.41530605186600295
3590.4,-0.6445105255726234
3590.4,-0.6768451373781588
3590.2,-0.6609254294751394
3591.0,-0.5046506370691473
3590.8,-0.056738083916722276
3590.8,0.15058353219519202
3591.0,0.048553916000899776
3591.0,0.20437248379706097
3591.0,0.4033121797639697
3591.4,0.48033829161811026
3590.8,0.5891297375263244
3590.8,0.41981804295797653
3590.4,0.10118094556597383
3590.8,0.09469033763841826
3591.4,0.5019193994125789
3591.4,1.0500504736823344
3591.0,1.105073088310389
3591.6,0.8907086499469393
3592.0,1.2823836936241793
3591.8,1.8157375954363941
3591.2,1.555002046364327
3591.8,1.1432301567183343
3591.0,1.2544150992035643
3591.0,1.1293187093339232
3591.4,0.8824434676098813
3591.0,1.1380813576867255
3590.2,0.9674947736597567
3590.0,0.18036608064485218
3591.0,0.1708612727877839
3590.0,0.7743231825109932
3590.0,0.5253221312413044
3590.6,0.15694902868381289
3590.6,0.7469187825291403
3590.4,1.0827549450534721
3590.0,0.6472762492662456
3590.0,0.35309723170755153
3589.8,0.37841298288975483
3589.8,0.36444223801897935
3589.8,0.335862833205759
3589.0,0.21517791873390432
3588.8,-0.24524142667546617
3588.6,-0.6094316794448777
3588.6,-0.5581640949733278
3588.8,-0.4013909716889787
3589.2,-0.13010078528089164
3589.2,0.2536643382881588
3589.0,0.3530772787553497
3589.0,0.1965164949362754
3589.2,0.24825600243636015
3589.0,0.4569378768788111
3589.0,0.4479163726078116
3588.8,0.33120733710099065
3588.8,0.31014911809441026
3588.8,0.3453524130190119
3588.6,0.3660442371432915
3588.6,0.3155006148753385
3589.2,0.4619108668639795
3588.8,0.8280589689556838
3590.2,1.1819307486107782
3590.0,1.7784410148259169
3590.4,2.256328978508978
3591.0,2.4222224786623165
3589.4,2.430452519652721
3589.4,1.696183115884639
3588.6,0.8774206426324576
3588.6,0.7127320723435718
3588.8,0.7306126245705388
3588.8,0.8908691341809244
3589.2,1.159459387096553
3588.6,1.2367726745791956
3588.6,1.0080626987196732
3589.2,0.9799771235314587
3589.4,1.5370033562304528
3589.8,2.035472829421757
3590.0,2.2387264580061395
3588.8,2.129029493283977
3588.8,1.4586506377102066
3589.8,1.32249111984267
3588.8,1.9590361203954407
3588.8,1.7503955160603204
3588.6,1.109839492392872
3589.4,1.3968260509011676
3589.0,1.9434124311672547
3588.6,1.760566001204575
3588.6,1.2708630595337276
3588.6,1.258527417120789
3588.6,1.4555941852346328
3588.6,1.4502924150822847
3588.6,1.4437982201155761
3588.6,1.509963438824053
3588.6,1.5443891516012378
3586.6,1.0581875227099065
3588.2,0.28196539382549823
3585.2,-0.030441019908969177
3585.0,-0.988846063038464
3587.4,-1.5177758485889827
