value,window
3500,3502.208696
3500,3496.086957
3498.8,3495.573913
3500,3494
3504,3490.191304
3501.2,3490.869565
3504,3491.443478
3504,3489
3503.6,3489.391304
3503.4,3487.817391
3503.8,3486.556522
3500.2,3485.278261
3502.8,3485.408696
3503.8,3488.591304
3503.2,3490.947826
3504.4,3491.669565
3503.4,3494.095652
3504.2,3493.669565
3502,3495.947826
3501.4,3498.226087
3500.2,3497.573913
3502,3495.2
3500.4,3491.33913
3495.2,3491.286957
3499.8,3491.382609
3495.4,3488.295652
3496,3482.547826
3495.6,3480.426087
3495.4,3482.130435
3495.6,3482.8
3497.6,3484.530435
3495.6,3486.191304
3497.2,3484.808696
3495.6,3485.773913
3495.6,3486.652174
3497.4,3486.721739
3497.2,3487.965217
3497.2,3486.852174
3494,3483.226087
3494.8,3481.695652
3494.8,3480
3497.6,3475.208696
3497.8,3472.686957
3494.6,3471.365217
3494.8,3473.965217
3495.2,3474.069565
3494.8,3472.930435
3495.2,3474.773913
3494.6,3473.321739
3497.8,3474.478261
3497.8,3475.93913
3497.8,3477.947826
3495.6,3480.643478
3494.6,3480.965217
3496,3479.33913
3497.6,3479.269565
3496,3481.591304
3496,3482.704348
3495,3481.434783
3495.2,3483.947826
3495,3488.826087
3494.6,3490.008696
3494.6,3491.947826
3494.6,3491.408696
3494.6,3492.113043
3495,3492.373913
3494.8,3493.513043
3496.4,3491.634783
3494.6,3490.6
3494.6,3490.695652
3494.6,3489.8
3494.8,3490.2
3494.8,3489.991304
3494.8,3488.321739
3495,3489.834783
3494.8,3488.130435
3494.8,3486.521739
3494.8,3484.217391
3493.8,3482.13913
3493.6,3481.269565
3493.4,3480.086957
3493.6,3482.373913
3493.2,3485.078261
3494,3484.304348
3495,3482.773913
3494,3480.573913
3494.8,3478.73913
3494.6,3481.904348
3493,3483.426087
3492.2,3484.356522
3492.6,3484.347826
3491.2,3487.365217
3491.2,3488.8
3490.2,3488.295652
3490,3492.182609
3488.8,3493.704348
3489.4,3493.452174
3491.6,3491.643478
3489.4,3491.643478
3489.8,3493.791304
3489.8,3494.252174
3489.8,3492.365217
3489.8,3491.417391
3489.8,3494.234783
3490,3493.852174
3491.6,3492.426087
3491.6,3493.904348
3490.4,3491.086957
3490.6,3490.078261
3490.6,3487.704348
3490,3486.278261
3490,3484.730435
3490,3484.46087
3490,3485.808696
3490,3485.26087
3490.2,3483.191304
3489.8,3486.565217
3490,3487.626087
3490.2,3490.826087
3490,3493.417391
3490.2,3493.808696
3489.8,3496.686957
3490,3494.504348
3490.2,3492.678261
3490.2,3496.53913
3490.2,3498.973913
3490,3498.904348
3490.4,3500.269565
3490.4,3502.765217
3491.4,3501.530435
3490.8,3499.86087
3492,3500.66087
3492,3499.947826
3492.2,3499.626087
3492.6,3498.173913
3492.6,3498.530435
3492.2,3499.121739
3492.6,3495.365217
3492.4,3493.747826
3492.4,3491.93913
3493,3492.626087
3492.4,3493.391304
3492.2,3493.695652
3490.2,3490.452174
3491.8,3487.982609
3491.8,3485.93913
3491.6,3486.452174
3491.6,3481.608696
3491.6,3483.582609
3491.6,3483.417391
3490.6,3483.982609
3491.4,3483.434783
3491,3482.904348
3491.4,3482.591304
3491,3483.634783
3490.4,3482.573913
3490.8,3480.252174
3490.6,3479.634783
3491.6,3480.452174
3490,3479.956522
