value,window
3500,3503.12
3500,3498.14
3498.8,3496.3
3500,3495.42
3504,3496.42
3501.2,3494.94
3504,3494.68
3504,3493.92
3503.6,3490.66
3503.4,3490.32
3503.8,3490.08
3500.2,3490.14
3502.8,3492.08
3503.8,3491.86
3503.2,3491.04
3504.4,3490.36
3503.4,3488.64
3504.2,3487.86
3502,3489.52
3501.4,3490.02
3500.2,3486.9
3502,3488.34
3500.4,3487.46
3495.2,3486.12
3499.8,3485.64
3495.4,3485.38
3496,3485.02
3495.6,3485.66
3495.4,3485.2
3495.6,3487.54
3497.6,3489.14
3495.6,3490.58
3497.2,3490.8
3495.6,3491.46
3495.6,3491.18
3497.4,3492.46
3497.2,3493.94
3497.2,3494.3
3494,3493.28
3494.8,3493.66
3494.8,3494.92
3497.6,3495.44
3497.8,3497.22
3494.6,3498.02
3494.8,3498.5
3495.2,3498.24
3494.8,3497.64
3495.2,3496.1
3494.6,3495.6
3497.8,3493.14
3497.8,3491.72
3497.8,3490.82
3495.6,3491.28
3494.6,3491.3
3496,3491.38
3497.6,3491.42
3496,3490.98
3496,3489.14
3495,3486.24
3495.2,3483.98
3495,3481.2
3494.6,3480.62
3494.6,3480.18
3494.6,3480.9
3494.6,3482.1
3495,3482.8
3494.8,3482.8
3496.4,3482.78
3494.6,3483.82
3494.6,3484.5
3494.6,3486.18
3494.8,3486.64
3494.8,3485.64
3494.8,3484.3
3495,3484.94
3494.8,3485.58
3494.8,3485.76
3494.8,3486.6
3493.8,3486.56
3493.6,3486.72
3493.4,3486.32
3493.6,3487.28
3493.2,3487.76
3494,3488.18
3495,3487.78
3494,3486.96
3494.8,3484.94
3494.6,3483.44
3493,3482.06
3492.2,3480.94
3492.6,3482.28
3491.2,3481.8
3491.2,3479.32
3490.2,3476.8
3490,3475.72
3488.8,3473.34
3489.4,3472.66
3491.6,3472.8
3489.4,3471.54
3489.8,3471.18
3489.8,3472.04
3489.8,3474.66
3489.8,3474.84
3489.8,3474.5
3490,3473.22
3491.6,3472.5
3491.6,3473.16
3490.4,3474.36
3490.6,3475.18
3490.6,3474.16
3490,3473.06
3490,3473.3
3490,3474.58
3490,3474.54
3490,3475.64
3490.2,3476
3489.8,3476.46
3490,3478.04
3490.2,3478.98
3490,3480.1
3490.2,3481.66
3489.8,3481.52
3490,3480.68
3490.2,3479.74
3490.2,3478.92
3490.2,3479.6
3490,3478.88
3490.4,3479.68
3490.4,3480.76
3491.4,3482.42
3490.8,3483
3492,3482.66
3492,3482.08
3492.2,3481.78
3492.6,3480.8
3492.6,3482.98
3492.2,3485.12
3492.6,3488.3
3492.4,3488.64
3492.4,3489.68
3493,3489.72
3492.4,3491.06
3492.2,3491.58
3490.2,3492.48
3491.8,3492.3
3491.8,3490.58
3491.6,3491.52
3491.6,3492.64
3491.6,3491.68
