value,filter
3719.6,3717.4045630518876
3719.0,3717.4613939169885
3718.8,3717.5179687153122
3719.0,3717.5742401957505
3719.4,3717.6301621179928
3719.4,3717.6856960515497
3719.6,3717.7408109847383
3719.4,3717.7954799388576
3719.8,3717.849678284451
3719.4,3717.903383659132
3719.8,3717.956575135412
3719.8,3718.0092339398507
3719.0,3718.061341870779
3719.0,3718.112873800909
3719.0,3718.163796661381
3718.2,3718.214073011965
3719.8,3718.263664403244
3717.6,3718.3125352884863
3718.0,3718.3606439195833
3718.4,3718.4079383186695
3717.6,3718.4543675434056
3718.8,3718.4998855034487
3717.4,3718.5444500284702
3719.0,3718.588022738121
3718.8,3718.6305741734527
3718.8,3718.6720878484157
3717.6,3718.7125482517595
3718.6,3718.751931080989
3718.0,3718.7902098672157
3717.6,3718.82735919599
3718.0,3718.863350217065
3717.6,3718.8981531973177
3718.0,3718.9317414234965
3717.6,3718.9640911055276
3717.6,3718.9951797781328
3717.4,3719.0249840465885
3717.2,3719.0534789749695
3717.0,3719.080637515327
3717.0,3719.1064307278216
3716.8,3719.130829494645
3717.0,3719.1538061307683
3717.0,3719.175336646083
3716.8,3719.1954013607415
3716.6,3719.213981718599
3717.0,3719.231059547243
3717.0,3719.246621622485
3717.0,3719.260661691764
3717.2,3719.273178604448
3717.0,3719.2841752977106
3717.0,3719.293657084963
3717.4,3719.301631546582
3717.0,3719.3081106768664
3717.0,3719.313108383293
3717.0,3719.31663738266
3717.0,3719.318710796336
3717.0,3719.319343647201
3717.0,3719.3185527586193
3716.6,3719.3163551529096
3716.4,3719.3127642923605
3716.0,3719.3077873068873
3715.8,3719.3014246564394
3717.2,3719.29367734029
3717.6,3719.2845626826283
3715.6,3719.274111843831
3716.0,3719.2623456664396
3717.2,3719.249274552129
3716.2,3719.2349179012335
3716.2,3719.2193005610598
3717.0,3719.2024449712103
3716.0,3719.18437656441
3717.0,3719.165123572396
3717.0,3719.144718340206
3717.0,3719.1232015571113
3715.8,3719.100613439576
3717.0,3719.0769854508685
3717.2,3719.0523505734495
3717.4,3719.026754454622
3717.0,3719.0002500692653
3717.6,3718.9728904380154
3717.4,3718.944730052273
3717.8,3718.915826959371
3719.6,3718.8862492204607
3719.8,3718.8560877163623
3719.6,3718.8254531001267
3719.8,3718.794458618348
3719.8,3718.7632129867643
3719.0,3718.7318182132744
3718.8,3718.7003623036308
3719.0,3718.668918446239
3719.0,3718.6375532889433
3718.8,3718.6063309653164
3718.2,3718.5753086135473
3718.2,3718.544531428427
3718.2,3718.5140347982924
3718.6,3718.4838515889555
3718.6,3718.454017485099
3718.0,3718.42456848627
3718.0,3718.3955332941255
3718.2,3718.3669329385925
3717.8,3718.338785700306
3717.8,3718.311106478355
3718.4,3718.2839077052477
3719.2,3718.257209226865
3720.0,3718.2310483174215
3720.0,3718.205480033885
3720.0,3718.1805677456287
3720.6,3718.156375725884
3721.0,3718.13297195852
3721.0,3718.110430764795
3722.0,3718.0888314990384
3721.0,3718.0682565604634
3721.0,3718.048782004122
3721.0,3718.0304702361627
3720.4,3718.01337219439
3721.0,3717.99752941627
3721.0,3717.982979003056
3721.0,3717.9697582888966
3722.0,3717.9579062185608
3722.0,3717.9474683938624
3721.0,3717.938492782337
3721.0,3717.9310144108204
3721.0,3717.9250522852262
3722.4,3717.9206230578393
3721.0,3717.9177501093873
3722.4,3717.916457788544
3722.6,3717.9167720106234
3723.0,3717.9187283297397
3724.0,3717.9223727376875
3726.0,3717.9277691552884
3726.2,3717.9350101883856
3727.0,3717.944210641469
3727.4,3717.955494618435
3726.8,3717.968986393009
3726.8,3717.984798825645
3727.2,3718.003029266428
3727.0,3718.023765501783
3726.8,3718.0470860949727
3726.6,3718.0730554614215
3726.6,3718.1017230257266
3727.2,3718.133128467907
3728.4,3718.1673134297707
3728.6,3718.2043317520024
3728.6,3718.244245538418
3728.4,3718.287112425941
3728.8,3718.3329796475427
3728.6,3718.381885988762
3728.6,3718.4338621372003
3728.6,3718.488928771079
3728.6,3718.547097036689
3728.2,3718.60836826315
3728.4,3718.672732210403
3729.0,3718.740171457109
3729.0,3718.8106692923166
3729.0,3718.88420961199
3729.6,3718.9607738157065
3729.6,3719.0403431572136
3729.2,3719.1228971958417
3729.2,3719.2084063351167
3730.0,3719.2968330990893
3730.0,3719.388141612061
3731.0,3719.482302742188
