value,filter
0.0,3711.3082691307413
3694.4,3711.3072073451563
3694.6,3711.306125953757
3694.6,3711.3050240606126
3700.2,3711.3039016888897
3699.2,3711.3027588657287
3702.4,3711.301595622479
3697.2,3711.3004119922102
3695.2,3711.299208005748
3695.2,3711.297983689349
3695.4,3711.296739066546
3699.2,3711.2954741614694
3698.0,3711.2941890009342
3695.2,3711.2928836130422
3698.8,3711.2915580247527
3697.0,3711.2902122628743
3698.6,3711.288846355253
3698.6,3711.2874603304763
3698.4,3711.2860542178205
3698.4,3711.2846280468007
3696.8,3711.2831818463787
3696.8,3711.2817156442725
3698.4,3711.2802294674025
3696.8,3711.2787233430845
3697.4,3711.2771972987807
3698.6,3711.275651361901
3700.0,3711.2740855611405
3700.0,3711.272499927268
3698.6,3711.270894492033
3697.2,3711.26926928613
3701.0,3711.2676243391024
3702.2,3711.2659596822186
3702.2,3711.264275350104
3702.2,3711.262571379194
3702.6,3711.2608478062934
3702.4,3711.2591046684306
3700.6,3711.257342002308
3702.4,3711.2555598436593
3700.0,3711.2537582275486
3698.6,3711.2519371877793
3700.8,3711.2500967563024
3698.8,3711.2482369645563
3700.8,3711.2463578442644
3699.2,3711.244459427283
3700.4,3711.2425417455515
3699.2,3711.2406048308935
3700.4,3711.238648715019
3699.0,3711.236673429574
3700.4,3711.2346790060883
3700.4,3711.2326654763774
3700.6,3711.2306328729824
3700.6,3711.2285812289238
3699.0,3711.226510576954
3700.4,3711.2244209490154
3698.6,3711.22231237644
3698.4,3711.2201848898007
3700.2,3711.2180385189645
3698.4,3711.2158732940834
3700.4,3711.2136892457434
3700.4,3711.211486405113
3699.4,3711.209264804139
3698.8,3711.2070244743545
3698.4,3711.2047654459893
3698.4,3711.20248774827
3698.4,3711.2001914099656
3698.8,3711.1978764598384
3698.8,3711.195542926938
3699.0,3711.1931908406505
3699.2,3711.1908202306495
3698.8,3711.1884311267972
3700.0,3711.1860235591394
3699.2,3711.1835975581566
3699.2,3711.1811531545154
3700.4,3711.1786903788675
3699.4,3711.176209262296
3700.4,3711.1737098362655
3700.6,3711.171192132569
3700.2,3711.168656183531
3699.0,3711.1661020212564
3699.0,3711.1635296766935
3699.0,3711.1609391797842
3700.6,3711.1583305605564
3699.0,3711.1557038498177
3700.6,3711.153059078758
3700.8,3711.1503962789957
3698.8,3711.1477154825784
3699.0,3711.145016720644
3699.2,3711.142300023074
3699.8,3711.139565419688
3699.8,3711.1368129409375
3699.8,3711.1340426177535
3700.8,3711.131254481448
3700.8,3711.1284485640604
3700.8,3711.125624898352
3700.2,3711.122783517164
3700.0,3711.11992445282
3700.6,3711.1170477371793
3700.6,3711.1141534022295
3699.8,3711.111241480139
3699.8,3711.1083120026124
3700.8,3711.1053650009876
3699.8,3711.102400506883
3699.8,3711.0994185518985
3700.8,3711.0964191673675
3700.8,3711.093402385102
3700.8,3711.0903682376356
3700.8,3711.0873167577292
3700.2,3711.084247977974
3700.0,3711.0811619304436
3700.6,3711.078058646748
3700.8,3711.074938158675
3700.2,3711.071800498391
3700.0,3711.0686456978424
3700.6,3711.0654737885593
3699.8,3711.062284802003
3700.4,3711.059078769568
3699.6,3711.055855722431
3700.6,3711.052615691651
3700.0,3711.0493587084206
3699.8,3711.046084803961
3699.6,3711.04279400908
3700.0,3711.0394863542188
