original,filter1,filter2
1703,0.430977927,
1702,-0.889408528,
1702,-0.277407673,
1704,1.04466989,
1705,0.351706322,
1708,0.98862949,
1705,-2.386459455,
1706,-0.033684154,
1708,1.129442296,
1705,-1.671251089,
1705,-0.042191456,
1705,0.423389197,
1703,-0.681911054,
1703,0.384823488,
1704,0.978394244,
1704,0.121876897,
1705,0.329805725,
1703,-1.301554647,
1705,0.956937591,
1705,0.059888134,
1706,0.289292021,
1707,0.200026998,
1706,-0.939173643,
1707,0.253247834,
1705,-1.069970002,
1707,1.150954284,
1706,-0.363070111,
1705,-0.584806849,
1703,-0.843480154,
1703,0.538449887,
1702,0.127253867,
1703,0.95858702,
1702,-0.327821461,
1703,0.503919011,
1707,1.981066169,
1707,-0.675758556,
1707,-1.044600739,
1709,0.412812503,
1707,-1.426951468,
1707,-0.169430538,
1707,0.261739183,
1708,0.746848281,
1706,-1.02776734,
1706,0.038145505,
1708,1.318300477,
1709,0.470426025,
1708,-1.01708365,
1707,-0.888621138,
1708,0.62236615,
1710,1.212295649,
1709,-0.777878883,
1708,-0.911694395,
1709,0.539997107,
1707,-0.863022261,
1706,-0.287352957,
1706,0.525049148,
1706,0.470847839,
1706,0.209168697,
1708,1.038244331,
1707,-0.795554056,
1707,-0.372531301,
1708,0.442987852,
1707,-0.577331952,
1709,0.962692591,
1710,0.372048454,
1710,-0.488846525,
1711,0.038169741,
1713,0.666615275,
1712,-1.026905772,
1708,-2.464374746,
1708,0.456710441,
1709,1.517363773,
1708,3.43E-04,
1710,1.102210304,
1709,-0.69087545,
1713,1.70833785,
1712,-1.05946197,
1712,-0.752288249,
1734,10.835871,
1742,1.237716765,
1745,-4.549139895,
1746,-4.748724634,
1745,-3.322703116,
1731,-7.757021029,
1731,2.173887448,
1732,4.242187535,
1736,4.095500381,
1733,-1.627223155,
1739,2.213333013,
1739,-0.931945249,
1738,-1.80440191,
1737,-1.095622803,
1739,1.186893365,
1739,0.17578885,
1738,-0.696638133,
1734,-2.083793895,
1736,1.661402956,
1732,-1.220387197,
1733,1.160154103,
1731,-0.315244778,
1733,1.468456205,
1733,0.173907939,
1733,-0.26968924,
1735,0.760991024,
1734,-0.872528795,
1734,-0.354619686,
1734,-0.027665392,
1733,-0.429156134,
1735,1.201615707,
1734,-0.499625154,
1733,-0.700712029,
1733,0.117021587,
1734,0.783252787,
1733,-0.456149124,
1734,0.455685571,
1733,-0.545074714,
1735,0.983357695,
1736,0.378720693,
1736,-0.489482447,
1738,0.540878951,
1736,-1.482296256,
1736,-0.245678371,
1736,0.219787556,
1738,1.241234137,
1737,-0.646651088,
1738,0.188560899,
1737,-0.692970173,
1737,-0.06452366,
1738,0.645387767,
1739,0.500178292,
1740,0.198343723,
1740,-0.492837742,
1742,0.587471204,
1745,1.078463433,
1746,-0.363457211,
1746,-1.070364255,
1745,-1.206469353,
1744,-0.610815587,
1742,-0.633343335,
1741,0.197666864,
1739,-0.18478237,
1739,0.818015928,
1739,0.66200398,
1740,0.777364286,
1740,-0.103903801,
1739,-0.794309338,
1738,-0.56569176,
1737,-0.20679531,
1736,-6.50E-04,
1737,1.065809106,
1737,0.292176303,
1739,0.938359176,
1740,0.117159054,
1740,-0.672826141,
1741,-0.030023523,
1743,0.66570309,
1742,-1.009024669,
1743,0.074250005,
1741,-1.18480815,
1741,0.103803385,
1745,2.420149641,
1745,-0.238499237,
1746,-0.332147004,
1746,-0.688453909,
1748,0.585599051,
1749,0.120311042,
1746,-2.08944563,
1747,0.424788823,
1749,1.391431826,
1745,-2.105142375,
1746,0.57203393,
1746,0.495810954,
1745,-0.289955144,
1746,0.658209591,
1746,0.066131102,
1750,1.890281755,
1748,-1.634475807,
1746,-1.736806252,
1747,0.661166898,
1746,-0.042804001,
1745,-0.211987875,
1743,-0.651871379,
1744,1.08524699,
1744,0.483984053,
1744,0.066497595,
1744,-0.082021507,
1745,0.425564595,
1746,0.340560078,
1746,-0.366178928,
1750,1.653473936,
1750,-0.683874826,
1750,-0.961494499,
1750,-0.532834238,
1751,0.368286517,
1752,0.420446111,
1752,-0.290849068,
1753,0.173055531,
1750,-1.811421602,
1750,0.113333315,
1743,-2.957161758,
1743,1.292822621,
1744,2.276743399,
1742,-0.164404641,
1742,0.267298483,
1741,-0.260364717,
1741,0.237540472,
1742,0.753506388,
1740,-1.016201229,
1742,1.05498414,
1745,1.570531906,
1744,-1.132759795,
1744,-0.769586732,
1745,0.237866536,
1743,-1.127636061,
1741,-0.907984868,
1742,1.142981209,
1744,1.606877053,
1744,-0.119533346,
1742,-1.536803738,
1743,0.398336645,
1743,0.211211738,
1744,0.554509696,
1744,-0.147839669,
1744,-0.261498727,
1742,-1.16530381,
1743,0.714785368,
1745,1.356722897,
1745,-0.190034613,
1745,-0.511426066,
1747,0.679293441,
1749,0.647186099,
1748,-1.215958148,
1747,-1.085454068,
1746,-0.480688834,
1748,1.451025991,
1747,-0.299090873,
1748,0.39135419,
1749,0.374067432,
1748,-0.836810937,
1749,0.282417152,
1752,1.448982986,
1750,-1.518349517,
1751,-0.014837064,
1750,-0.607779634,
1750,0.054548866,
1751,0.711238776,
1751,0.012006615,
1751,-0.184631403,
1750,-0.646334774,
1752,1.081940364,
1751,-0.529997811,
1753,0.82415613,
1751,-1.259435759,
1747,-2.1761421,
1743,-1.284458285,
1746,3.166881584,
1748,2.212807481,
1747,-0.722362073,
1748,-0.132531734,
1748,-0.407469079,
1747,-0.773624879,
1749,1.047413945,
1750,0.488836032,
1749,-0.929577485,
1752,1.191807662,
1751,-0.875738366,
1751,-0.474294493,
1750,-0.621284253,
1749,-0.335479595,
1748,-0.081745156,
1750,1.545197501,
1751,0.672733193,
1751,-0.422564269,
1749,-1.50911907,
1749,-0.003472545,
1748,-0.096793007,
1746,-0.576436513,
1749,2.120300661,
1750,0.73245046,
1750,-0.534460014,
1749,-1.1040484,
1749,-0.175106417,
1750,0.674596812,
1748,-0.962880309,
1748,0.106335254,
1748,0.341626756,
1746,-0.783483312,
1747,0.836126839,
1748,0.838522463,
1749,0.399431808,
1749,-0.434568586,
1751,0.576305068,
1751,-0.460751305,
1755,1.518580429,
1752,-2.274005805,
1749,-2,
