original,filter1,filter2
1704,1703.685294,
1702,1702.322967,
1701,1701.169393,
1701,1700.990939,
1701,1700.992942,
1702,1701.838551,
1703,1702.840283,
1702,1702.166224,
1702,1702.00549,
1704,1703.675073,
1705,1704.839942,
1708,1707.529773,
1705,1705.490199,
1706,1705.854185,
1708,1707.667285,
1705,1705.48472,
1705,1705.009195,
1705,1704.986541,
1703,1703.31789,
1703,1702.998579,
1704,1703.829364,
1704,1703.998724,
1705,1704.844734,
1703,1703.322427,
1705,1704.683143,
1705,1704.991916,
1706,1705.848021,
1707,1706.842132,
1706,1706.166281,
1707,1706.845063,
1705,1705.317228,
1707,1706.682135,
1706,1706.152266,
1705,1705.16816,
1703,1703.316823,
1703,1702.992671,
1702,1702.149024,
1703,1702.837026,
1702,1702.155849,
1703,1702.843223,
1707,1706.354924,
1707,1707.006828,
1707,1707.021568,
1709,1708.683162,
1707,1707.322128,
1707,1707.008919,
1707,1706.991594,
1708,1707.837728,
1706,1706.321308,
1706,1706.003908,
1708,1707.669899,
1709,1708.838999,
1708,1708.171274,
1707,1707.166879,
1708,1707.834841,
1710,1709.673729,
1709,1709.165803,
1708,1708.17102,
1709,1708.835807,
1707,1707.315304,
1706,1706.163197,
1706,1705.989991,
1706,1705.992955,
1706,1705.998963,
1708,1707.679263,
1707,1707.16171,
1707,1707.009681,
1708,1707.836398,
1707,1707.160105,
1709,1708.683679,
1710,1709.836737,
1710,1710.010028,
1711,1710.846671,
1713,1712.680924,
1712,1712.166812,
1708,1708.652127,
1708,1707.994209,
1709,1708.818029,
1708,1708.157068,
1710,1709.683673,
1709,1709.157591,
1713,1712.367233,
1712,1712.159696,
1712,1712.019094,
1734,1730.470289,
1742,1740.730329,
1745,1744.637449,
1746,1745.904178,
1745,1745.184794,
1731,1733.252363,
1731,1730.986494,
1732,1731.766294,
1736,1735.345488,
1733,1733.488574,
1739,1738.057761,
1739,1738.99238,
1738,1738.18851,
1737,1737.165367,
1739,1738.67363,
1739,1738.995024,
1738,1738.169675,
1734,1734.642812,
1736,1735.671573,
1732,1732.621155,
1733,1732.843442,
1731,1731.302632,
1733,1732.679387,
1733,1732.991817,
1733,1733.0085,
1735,1734.681127,
1734,1734.161768,
1734,1734.009634,
1734,1733.996767,
1733,1733.159457,
1735,1734.678518,
1734,1734.156527,
1733,1733.16909,
1733,1732.996108,
1734,1733.833563,
1733,1733.159987,
1734,1733.844125,
1733,1733.156866,
1735,1734.682815,
1736,1735.836673,
1736,1736.010043,
1738,1737.686296,
1736,1736.323091,
1736,1736.009006,
1736,1735.99158,
1738,1737.677343,
1737,1737.161574,
1738,1737.849335,
1737,1737.157816,
1737,1737.003593,
1738,1737.835353,
1739,1738.839336,
1740,1739.845383,
1740,1740.006798,
1742,1741.6854,
1745,1744.521122,
1746,1745.851874,
1746,1746.018036,
1745,1745.168491,
1744,1744.160722,
1742,1742.314887,
1741,1741.152913,
1739,1739.308792,
1739,1738.991609,
1739,1738.988693,
1740,1739.837715,
1740,1740.000636,
1739,1739.165599,
1738,1738.160714,
1737,1737.154597,
1736,1736.153577,
1737,1736.832814,
1737,1736.994518,
1739,1738.683439,
1740,1739.841891,
1740,1740.011024,
1741,1740.8467,
1743,1742.680899,
1742,1742.166806,
1743,1742.850227,
1741,1741.318202,
1741,1741.00292,
1745,1744.349047,
1745,1745.000686,
1746,1745.860195,
1746,1746.004571,
1748,1747.684508,
1749,1748.84178,
1746,1746.492109,
1747,1746.844753,
1749,1748.665417,
1745,1745.645037,
1746,1745.848216,
1746,1745.982038,
1745,1745.161702,
1746,1745.839791,
1746,1745.995601,
1750,1749.362668,
1748,1748.324288,
1746,1746.340159,
1747,1746.831863,
1746,1746.148856,
1745,1745.162803,
1743,1743.315903,
1744,1743.832282,
1744,1743.989318,
1744,1744.003219,
1744,1744.000953,
1745,1744.839702,
1746,1745.840253,
1746,1746.005802,
1750,1749.36461,
1750,1750.00358,
1750,1750.020641,
1750,1750.003846,
1751,1750.83971,
1752,1751.840163,
1752,1752.005785,
1753,1752.845749,
1750,1750.48278,
1750,1750.003219,
1743,1744.108115,
1743,1742.992583,
1744,1743.803397,
1742,1742.314692,
1742,1742.003717,
1741,1741.15121,
1741,1740.997478,
1742,1741.834388,
1740,1740.320482,
1742,1741.683095,
1745,1744.510828,
1744,1744.170732,
1744,1744.016701,
1745,1744.837461,
1743,1743.320468,
1741,1741.324515,
1742,1741.828983,
1744,1743.667655,
1744,1744.004442,
1742,1742.332049,
1743,1742.840352,
1743,1742.990359,
1744,1743.842785,
1744,1744.001556,
1744,1744.005236,
1742,1742.321715,
1743,1742.838345,
1745,1744.669539,
1745,1745.00451,
1745,1745.011243,
1747,1746.681255,
1749,1748.680567,
1748,1748.171938,
1747,1747.171982,
1746,1746.156558,
1748,1747.67246,
1747,1747.155456,
1748,1747.848316,
1749,1748.837052,
1748,1748.165298,
1749,1748.845034,
1752,1751.515354,
1750,1750.326894,
1751,1750.854724,
1750,1750.153657,
1750,1750.002626,
1751,1750.835298,
1751,1750.999735,
1751,1751.005122,
1750,1750.16137,
1752,1751.678623,
1751,1751.156487,
1753,1752.68794,
1751,1751.318807,
1747,1747.649652,
1743,1743.63048,
1746,1745.493754,
1748,1747.656565,
1747,1747.173223,
1748,1747.852222,
1748,1747.997623,
1747,1747.164565,
1749,1748.679471,
1750,1749.83579,
1749,1749.170358,
1752,1751.525284,
1751,1751.158202,
1751,1751.013844,
1750,1750.158067,
1749,1749.158855,
1748,1748.154477,
1750,1749.672472,
1751,1750.834764,
1751,1751.010001,
1749,1749.327867,
1749,1748.999756,
1748,1748.150036,
1746,1746.318137,
1749,1748.512352,
1750,1749.830321,
1750,1750.014178,
1749,1749.168428,
1749,1749.000452,
1750,1749.834417,
1748,1748.320394,
1748,1748.003837,
1748,1747.990674,
1746,1746.318851,
1747,1746.838253,
1748,1747.829991,
1749,1748.8435,
1749,1749.00673,
1751,1750.685446,
1751,1751.002272,
1755,1754.368795,
1752,1752.485633,
1749,1749.499884,
1748,1748.146783,
1750,1749.660287,
1750,1749.993049,
