original,filter
1693,1693.294463
1694,1693.60947
1696,1693.912334
1696,1694.465742
1694,1694.973255
1693,1694.987607
1694,1694.592144
1693,1694.134213
1698,1694.043875
1700,1694.871664
1701,1696.529654
1702,1698.420269
1702,1700.099149
1704,1701.439994
1702,1702.414419
1701,1702.7723
1701,1702.509285
1701,1701.993475
1702,1701.579943
1703,1701.522576
1702,1701.762625
1702,1701.993221
1704,1702.225152
1705,1702.732329
1708,1703.688469
1705,1704.841775
1706,1705.630375
1708,1706.123099
1705,1706.495647
1705,1706.448244
1705,1706.037909
1703,1705.453562
1703,1704.68523
1704,1703.980806
1704,1703.627743
1705,1703.649895
1703,1703.820961
1705,1703.939886
1705,1704.140109
1706,1704.522233
1707,1705.078707
1706,1705.691916
1707,1706.163087
1705,1706.381038
1707,1706.368197
1706,1706.331004
1705,1706.226339
1703,1705.784785
1703,1704.986028
1702,1704.052972
1703,1703.248781
1702,1702.714772
1703,1702.436383
1707,1702.675905
1707,1703.671691
1707,1704.980801
1709,1706.200937
1707,1707.190036
1707,1707.681973
1707,1707.701034
1708,1707.587204
1706,1707.44923
1706,1707.136152
1708,1706.835266
1709,1706.957874
1708,1707.424585
1707,1707.772503
1708,1707.842597
1710,1707.981458
1709,1708.381059
1708,1708.713019
1709,1708.792575
1707,1708.679018
1706,1708.246562
1706,1707.529329
1706,1706.820609
1706,1706.30663
1708,1706.146635
1707,1706.378299
1707,1706.709134
1708,1706.99164
1707,1707.245425
1709,1707.486333
1710,1707.926744
1710,1708.6005
1711,1709.323697
1713,1710.141991
1712,1711.048569
1708,1711.477157
1708,1710.985689
1709,1710.044664
1708,1709.239424
1710,1708.774963
1709,1708.711408
1713,1709.100317
1712,1709.975799
1712,1710.950827
1734,1713.120425
1742,1718.705415
1745,1726.959001
1746,1735.099027
1745,1741.265644
1731,1743.941923
1731,1742.499065
1732,1738.868216
1736,1735.718572
1733,1734.022142
1739,1733.653155
1739,1734.538797
1738,1736.040662
1737,1737.189306
1739,1737.814754
1739,1738.257835
1738,1738.573535
1734,1738.346739
1736,1737.485007
1732,1736.323865
1733,1735.01515
1731,1733.728815
1733,1732.731343
1733,1732.257163
1733,1732.261855
1735,1732.597869
1734,1733.182356
1734,1733.711706
1734,1734.00801
1733,1734.060709
1735,1733.998627
1734,1734.040825
1733,1734.047229
1733,1733.834764
1734,1733.589276
1733,1733.46385
1734,1733.421828
1733,1733.425573
1735,1733.514657
1736,1733.884752
1736,1734.540811
1738,1735.340264
1736,1736.118111
1736,1736.542249
1736,1736.571024
1738,1736.563738
1737,1736.745899
1738,1737.024567
1737,1737.267884
1737,1737.3635
1738,1737.372346
1739,1737.545352
1740,1738.009264
1740,1738.670455
1742,1739.437045
1745,1740.51249
1746,1742.032349
1746,1743.66285
1745,1744.899081
1744,1745.436629
1742,1745.203441
1741,1744.310281
1739,1742.980944
1739,1741.492959
1739,1740.206064
1740,1739.416865
1740,1739.18097
1739,1739.237128
1738,1739.196328
1737,1738.856691
1736,1738.215514
1737,1737.487953
1737,1736.9885
1739,1736.920338
1740,1737.385882
1740,1738.215948
1741,1739.107431
1743,1740.053547
1742,1741.036754
1743,1741.837439
1741,1742.27928
1741,1742.251407
1745,1742.172066
1745,1742.632529
1746,1743.528858
1746,1744.498175
1748,1745.438445
1749,1746.450296
1746,1747.286133
1747,1747.553963
1749,1747.582508
1745,1747.572029
1746,1747.210992
1746,1746.667749
1745,1746.195869
1746,1745.813316
1746,1745.638314
1750,1745.933484
1748,1746.747831
1746,1747.421856
1747,1747.518814
1746,1747.283941
1745,1746.84055
1743,1746.093444
1744,1745.152726
1744,1744.385911
1744,1743.965242
1744,1743.800967
1745,1743.854313
1746,1744.185465
1746,1744.744309
1750,1745.583634
1750,1746.851916
1750,1748.224885
1750,1749.270612
1751,1749.966549
1752,1750.53268
1752,1751.094838
1753,1751.638585
1750,1751.960562
1750,1751.76684
1743,1750.737953
1743,1748.697551
1744,1746.385406
1742,1744.58495
1742,1743.279155
1741,1742.327523
1741,1741.643949
1742,1741.255473
1740,1741.093633
1742,1741.001561
1745,1741.300408
1744,1742.15218
1744,1743.069829
1745,1743.767071
1743,1744.185198
1741,1744.03801
1742,1743.359897
1744,1742.780498
1744,1742.735457
1742,1742.923154
1743,1742.953915
1743,1742.911593
1744,1742.985431
1744,1743.222209
1744,1743.529815
1742,1743.648751
1743,1743.455346
1745,1743.320101
1745,1743.582634
1745,1744.073443
1747,1744.660965
1749,1745.534616
1748,1746.627928
1747,1747.449463
1746,1747.66732
1748,1747.509739
1747,1747.374606
1748,1747.352657
1749,1747.518263
1748,1747.851519
1749,1748.164061
1752,1748.653544
1750,1749.421271
1751,1750.096709
1750,1750.484347
1750,1750.581133
1751,1750.53174
1751,1750.570241
1751,1750.702093
1750,1750.769448
1752,1750.792004
1751,1750.924893
1753,1751.202381
1751,1751.532143
1747,1751.389775
1743,1750.146552
1746,1748.177243
1748,1746.709388
1747,1746.249324
1748,1746.396867
1748,1746.822877
1747,1747.248892
1749,1747.559961
1750,1748.009469
1749,1748.597203
1752,1749.218325
1751,1749.955458
1751,1750.609043
1750,1750.916877
1749,1750.796559
1748,1750.262142
1750,1749.633526
1751,1749.405459
1751,1749.674099
1749,1750.007839
1749,1750.008582
1748,1749.669297
1746,1749.011372
1749,1748.264525
1750,1748.019761
1750,1748.385577
1749,1748.904737
1749,1749.212206
1750,1749.349327
1748,1749.379131
1748,1749.154226
1748,1748.74995
1746,1748.245801
