original, filter
1692,1689.54279
1691,1692.999877
1692,1692.437498
1692,1691.759304
1692,1691.825387
1691,1691.776036
1693,1691.744859
1693,1692.362718
1692,1692.803711
1692,1692.432539
1692,1692.002456
1692,1691.916209
1690,1691.555412
1691,1690.81926
1692,1690.824453
1693,1691.796811
1694,1692.981395
1694,1693.848445
1694,1694.143455
1694,1694.082687
1695,1694.209037
1696,1694.887342
1695,1695.526397
1695,1695.42315
1695,1695.053289
1696,1695.143404
1694,1695.249129
1695,1694.857407
1694,1694.48538
1694,1694.21804
1694,1693.985527
1693,1693.745384
1693,1693.28903
1692,1692.754275
1692,1692.232885
1692,1691.938358
1692,1691.931619
1692,1691.986802
1691,1691.801941
1691,1691.30968
1693,1691.370547
1694,1692.522292
1694,1693.762262
1693,1693.994936
1694,1693.631537
1696,1694.071407
1696,1695.33797
1694,1695.719867
1693,1694.580114
1694,1693.464447
1693,1693.275359
1698,1694.250239
1700,1696.919803
1701,1699.781104
1702,1701.348551
1702,1701.987194
1704,1702.535976
1702,1703.026854
1701,1702.48107
1701,1701.356978
1701,1700.841896
1702,1701.078247
1703,1701.886162
1702,1702.551572
1702,1702.432684
1704,1702.465026
1705,1703.533118
1708,1705.367479
1705,1706.662464
1706,1706.368656
1708,1706.21308
1705,1706.626266
1705,1705.983126
1705,1705.044844
1703,1704.410915
1703,1703.534103
1704,1703.127659
1704,1703.562304
1705,1704.215649
1703,1704.371968
1705,1704.095225
1705,1704.375495
1706,1705.15297
1707,1706.005103
1706,1706.580892
1707,1706.6268
1705,1706.324444
1707,1705.997154
1706,1706.141989
1705,1706.053026
1703,1704.958931
1703,1703.539192
1702,1702.609085
1703,1702.33682
1702,1702.41834
1703,1702.501778
1707,1703.549508
1707,1705.779483
1707,1707.224646
1709,1707.735153
1707,1708.053958
1707,1707.658656
1707,1707.03701
1708,1707.091273
1706,1707.233053
1706,1706.655103
1708,1706.413771
1709,1707.470625
1708,1708.528134
1707,1708.29882
1708,1707.593861
1710,1707.997979
1709,1709.111642
1708,1709.237466
1709,1708.652745
1707,1708.205464
1706,1707.328391
1706,1706.265584
1706,1705.838021
1706,1705.888139
1708,1706.403526
1707,1707.203879
1707,1707.39871
1708,1707.313984
1707,1707.451096
1709,1707.724926
1710,1708.625553
1710,1709.731027
1711,1710.376318
1713,1711.224589
1712,1712.237979
1708,1711.620061
1708,1709.334137
1709,1707.990707
1708,1708.148465
1710,1708.676398
1709,1709.253736
1713,1710.189989
1712,1711.662341
1712,1712.436226
1734,1716.771902
1742,1728.964263
1745,1741.090136
1746,1746.282103
1745,1746.652529
1731,1742.674162
1731,1735.14092
1732,1730.450771
1736,1731.432192
1733,1733.952692
1739,1735.518196
1739,1737.462288
1738,1738.906993
1737,1738.440451
1739,1737.778583
1739,1738.245077
1738,1738.753636
1734,1737.610783
1736,1735.642879
1732,1734.313185
1733,1733.174313
1731,1732.187555
1733,1731.839358
1733,1732.317056
1733,1732.974906
1735,1733.537602
1734,1734.236433
1734,1734.384485
1734,1734.095781
1733,1733.753533
1735,1733.683596
1734,1734.137914
1733,1734.11292
1733,1733.395005
1734,1733.13461
1733,1733.385538
1734,1733.529252
1733,1733.533223
1735,1733.713121
1736,1734.605109
1736,1735.725784
1738,1736.584956
1736,1737.096141
1736,1736.703655
1736,1736.045378
1738,1736.292126
1737,1737.131923
1738,1737.600506
1737,1737.609215
1737,1737.314105
1738,1737.203349
1739,1737.839925
1740,1738.923133
1740,1739.818473
1742,1740.556932
1745,1742.100496
1746,1744.385432
1746,1745.960385
