value,window
3663,3666.072527
3663,3664.641758
3663,3664.778022
3664.8,3665.367033
3664.8,3665.12967
3667,3666.037363
3666.2,3669.248352
3666.2,3668.162637
3666.8,3666.936264
3666.2,3667.410989
3666.2,3668.496703
3666.6,3668.956044
3666.6,3666.821978
3667,3664.252747
3667,3664.953846
3666.6,3665.30989
3666.2,3665.808791
3665,3663.127473
3663.8,3662.747253
3665.8,3661.854945
3665,3660.61978
3665,3660.769231
3664,3659.026374
3663.8,3657.492308
3665,3657.279121
3663.2,3658.701099
3663.2,3658.857143
3663.2,3658.07033
3665,3657.432967
3663.2,3657.2
3665.2,3658.195604
3664,3657.556044
3665,3656.56044
3664,3655.301099
3665,3651.465934
3665.6,3648.67033
3665,3649.602198
3665.6,3650.703297
3664.4,3650.483516
3664,3649.503297
3664.4,3648.424176
3664,3647.171429
3664,3644.852747
3665.6,3645.465934
3664,3647.571429
3665.6,3650.518681
3666,3650.96044
3665.6,3653.01978
3666,3653.782418
3666,3653.927473
3665.8,3651.496703
3664.8,3651.457143
3665,3651.235165
3664,3651.584615
3664,3652.476923
3663.8,3653.318681
3664,3652.925275
3663.8,3655.114286
3664.8,3655.540659
3664.8,3655.881319
3665.8,3654.978022
3665.8,3653.252747
3665.8,3654.76044
3665.2,3652.410989
3665.8,3650.940659
3665.8,3648.56044
3665.8,3647.292308
3664,3647.61978
3665.8,3646.545055
3665.6,3646.556044
3665.6,3648.283516
3666.6,3649.23956
3665.6,3648.632967
3666.6,3648.068132
3665.6,3649.734066
3665.8,3651.846154
3666.6,3653.186813
3666.6,3653.279121
3668,3654.167033
3667,3653.450549
3667.8,3651.125275
3667.6,3649.481319
3668.6,3648.125275
3669,3647.276923
3668.8,3649.918681
3669.6,3652.085714
3668.6,3651.964835
3669.8,3653.123077
3670,3653.375824
3669.8,3652.2
3669.8,3651.881319
3669.6,3650.553846
3669.6,3649.312088
3668.6,3648.035165
3668.2,3649.226374
3668.6,3648.872527
3668.6,3646.681319
3668.8,3645.074725
3669,3643.481319
3667.2,3641.208791
3668.8,3641.210989
3668.8,3640.307692
3667,3639.373626
3667.2,3639.621978
3667.2,3640.679121
3667,3639.786813
3667.2,3638.98022
3667.2,3637.646154
3667.2,3637.668132
3667.2,3636.582418
3666.2,3637.285714
3666.2,3636.516484
3667.8,3636.320879
3667.4,3637.863736
3667.8,3636.463736
3666.4,3636.450549
3666.2,3632.621978
3667.8,3633.874725
3668,3636.632967
3666.6,3635.72967
3666.6,3635.725275
3667.8,3635.668132
3666.6,3635.263736
3667.2,3635.67033
3668,3634.349451
3668,3634.094505
3666.6,3634.065934
3668,3634.127473
3667,3634.186813
3667.8,3633.883516
3667.8,3635.481319
3668.2,3635.384615
3667.8,3635.279121
3667.8,3634.720879
3668,3635.032967
3668,3636.369231
3668,3636.593407
3668.4,3636.542857
3669.2,3637.235165
3668.6,3637.916484
3668.6,3639.971429
3669,3640.059341
3668.6,3639.331868
3668.6,3638.971429
3668.8,3639.905495
3669,3640.312088
3669,3640.235165
3669.2,3640.90989
3669.2,3639.610989
3669.2,3639.837363
3669.2,3639.243956
3669.2,3637.474725
3669.2,3637.927473
3668.8,3638.536264
3668.6,3639.338462
3668.6,3639.81978
3668.2,3641.861538
3668.2,3641.41978
3668,3641.298901
3667.8,3641.821978
3667,3642.435165
3667,3641.114286
3667,3639.101099
3668.4,3638.397802
3667,3638.881319
3666.4,3640.345055
3666.2,3641.894505
3666,3642.69011
3666.2,3641.065934
3665.8,3640.430769
3665.2,3641.501099
3665.8,3643.151648
3665,3642.701099
3663.6,3642.740659
3663.6,3640.727473
3663.6,3640.815385
3664.4,3641.057143
3664.4,3640.76044
3664.4,3640.156044
3663.8,3639.210989
3663.8,3639.347253
3664.8,3638.830769
3663.8,3637.468132
3664.2,3637.32967
3665,3636.454945
3665,3635.413187
3665.6,3635.503297
3665.8,3635.964835
3665,3636.96044
3665,3638.015385
3664.2,3639.63956
3664.8,3639.90989
3665,3638.993407
3665,3639.520879
3665,3642.114286
3664,3641.881319
3664.2,3642.237363
3664,3644
3664,3643.540659
3664.6,3644.248352
3664.8,3643.841758
3665.2,3644.221978
3665,3643.476923
3665.6,3645.393407
3665.8,3646.09011
3665.8,3647.12967
3665.8,3647.204396
3665.6,3647.567033
3665.8,3648.56044
3665.8,3648.610989
3665.8,3649.147253
3665.8,3647.859341
3665.8,3646.285714
3665.8,3645.978022
3665.4,3645.703297
3666.2,3647.457143
3665.4,3649.074725
3666.2,3650.628571
3665.6,3649.753846
3666.2,3650.67033
3665.6,3651.428571
3664.4,3650.426374
3665.4,3650.415385
3664.4,3651.76044
3664.4,3652.16044
3664.2,3649.81978
3664.2,3648.204396
3663.6,3647.56044
3663.2,3648.208791
3663,3648.386813
3663,3648.410989
3663,3646.410989
3663,3644.153846
3661.2,3644.650549
3661.8,3647.692308
3662.4,3647.705495
3662.4,3647.358242
3662.4,3647.67033
3662.4,3648.826374
3663,3651.430769
3662.4,3650.756044
3663,3651.125275
3663,3649.283516
3662.8,3647.294505
3662.8,3645.991209
3662.8,3645.252747
3662.8,3645.507692
3662.8,3646.178022
3662.6,3644.753846
3662.6,3644.547253
3662.4,3643.479121
3662.2,3644.36044
3662.2,3645.925275
3662.2,3644.393407
3662.2,3643.995604
3662.2,3643.378022
3661.4,3643.753846
3661.6,3641.885714
3661.6,3641.215385
3661.2,3641.802198
3661.2,3640.4
3660.4,3639.784615
3660.4,3641.606593
3660.4,3639.997802
3660.6,3639.120879
3660.4,3639.305495
3660.8,3639.538462
3660.6,3638.257143
3662,3637.604396
3660.6,3638.265934
3660.4,3639.208791
3660.4,3637.112088
3660.2,3637.092308
3660.6,3639.421978
3660.2,3640.112088
3660.2,3642.035165
3660.4,3641.002198
3660.6,3640.386813
3660.8,3639.261538
3661.4,3637.279121
3661,3638.046154
3661,3638.47033
3660.8,3638.676923
3660.8,3639.081319
3660.2,3639.059341
3661,3639.373626
3660,3638.107692
3659.8,3636.624176
3659.2,3636.83956
3658.4,3639.624176
3659.6,3640.050549
3658.4,3640.032967
3658.6,3638.654945
3658.6,3636.810989
3660,3635.586813
3659.2,3633.896703
3659.2,3633.841758
3658.8,3632.303297
3658.8,3631.114286
3659.2,3629.103297
3659.2,3628.476923
3658.8,3626.698901
3658.6,3625.687912
3658.4,3627.358242
3658.4,3628.861538
3658.2,3626.986813
3658.4,3626.173626
3658.4,3625.995604
3658,3626.046154
3657.8,3627.753846
3655.4,3627.914286
3655.4,3627.595604
3655.2,3628.032967
3655.4,3628.351648
3657.2,3627.052747
3656,3625.452747
3656,3625.292308
3657,3625.316484
3657.2,3625.237363
3657,3625.167033
3657,3626.630769
3657.6,3628.072527
3657.8,3627.542857
3657.8,3628.296703
3658,3626.694505
3658.8,3626.421978
3659.2,3625.518681
3659.2,3624.83956
3659.8,3622.010989
3658.8,3621.092308
3658.2,3621.775824
3658.2,3621.973626
3658.6,3620.641758
3660,3620.12967
3658.6,3619.846154
3658.4,3622.817582
3658.4,3624.637363
3658.4,3625.145055
3658.2,3626.586813
3658.6,3626.751648
3658,3626.448352
3658.8,3625.441758
3659.8,3626.413187
3659,3626.593407
3658.8,3627.804396
3659,3627.967033
3658.2,3627.204396
3659.8,3627.320879
3658.2,3624.703297
3658.6,3622.725275
3659.2,3621.413187
3659.4,3621.995604
3658.8,3620.450549
3659,3621.452747
3658.4,3622.547253
3658.4,3622.415385
3658,3620.081319
3658.2,3619.16044
3658,3620.250549
3658,3620.714286
3658,3622.351648
3657.8,3622.573626
3657.8,3622.758242
3658,3623.375824
3657.8,3621.687912
3657.4,3618.58022
3657.2,3616.773626
3657.2,3616.153846
3657.2,3616.065934
3657.2,3615.340659
3657,3613.850549
3657.8,3613.797802
3657.8,3612.652747
3657.2,3612.246154
3657.8,3611.252747
3657.6,3611.004396
3657.2,3611.131868
3657,3610.837363
3657,3610.382418
3657,3610.197802
3657.2,3609.120879
3657.2,3607.373626
3657.2,3607.802198
3657,3607.525275
3657.2,3608.918681
3657.2,3608.958242
3657.2,3608.136264
3657,3607.081319
3657.6,3607.443956
3657.2,3606.169231
3657.4,3605.569231
3657.6,3607.854945
3657.8,3608.738462
3657.8,3608.762637
3658,3609.279121
3658,3610.545055
3658.2,3613.01978
3658,3608.857143
3659,3606.272527
3658.4,3608.252747
3657.8,3609.61978
3657.4,3609.206593
3659.2,3608.771429
3657.4,3609.826374
3657.4,3609.843956
3657.4,3611.120879
3657.4,3610.786813
3657.4,3608.028571
3657.4,3603.98022
3657.4,3604.364835
3657.4,3604.175824
3657.4,3603.597802
3657.2,3603.632967
3657.2,3604.437363
3657.2,3603.876923
3659,3601.342857
3657.8,3600.989011
3657.6,3600.584615
3657.8,3601.140659
3657.4,3602.006593
3657,3602.81978
3656.8,3602.628571
3657,3600.498901
3656.6,3598.621978
3656.6,3597.518681
3656.6,3596.36044
3656.4,3595.274725
3655.8,3594.657143
3656,3593.6
3656.4,3593.967033
3655.4,3595.081319
3655.4,3594.597802
3655.8,3594.30989
3656.8,3593.923077
3655.4,3595.391209
3655.8,3594.714286
3655.2,3597.362637
3655,3597.107692
3655,3597.008791
3655.2,3597.830769
3655,3598.940659
3655,3599.804396
3655,3600.349451
3655,3599.914286
3654.8,3600.648352
3653.6,3600.771429
3653.8,3599.920879
3653.6,3596.637363
3653.2,3595.986813
3653,3596.349451
3651.8,3596.49011
3651.8,3597.323077
3650.2,3595.872527
3650,3594.507692
3647.4,3592.962637
3648.6,3592.059341
3648.6,3591.323077
3646,3592.028571
3647.6,3594.940659
3647.2,3594.347253
3647.6,3591.802198
3646.8,3590.173626
3646.8,3590.01978
3648.2,3589.802198
3650,3589.624176
3650,3591.617582
3650,3589.778022
3649.8,3588.441758
3650,3586.72967
3648.6,3586.083516
3650,3584.597802
3648.6,3582.430769
3650.6,3581.661538
3651.4,3581.23956
3649,3579.637363
3649,3578.413187
3649,3570.67033
3647.8,3570.778022
3648.8,3570.393407
3650.8,3574.197802
3650.8,3574.549451
3651.4,3574.195604
3651.4,3573.149451
3652,3570.989011
3649.4,3569.527473
3650,3566.246154
3651.8,3562.872527
3650.6,3560.173626
3650,3557.841758
3649.8,3557.32967
3651.6,3559.584615
3652,3563.356044
3650.2,3564.215385
3650.2,3562.173626
3650.6,3560.426374
3650.6,3558.597802
3650.6,3559.226374
3650.6,3558.96044
3650.2,3560.534066
3650,3561.138462
3650.6,3558.947253
3650.4,3558.474725
3650,3556.454945
3650.6,3554.004396
3650.8,3558.340659
3650.8,3559.56044
3650.4,3560.720879
3650.2,3561.391209
3649.6,3563.540659
3650,3563.969231
3649.6,3565.024176
3649.6,3567.718681
3649.8,3569.872527
3649.4,3570.125275
3650.2,3573.153846
3650,3571.626374
3649.2,3571.738462
3649.4,3571.69011
3649.2,3570.276923
3649,3569.934066
