value,filter
3666.25593837535,3660.4446230052754
3665.1922689075627,3661.449202093966
3658.8204761904767,3662.515791427959
3653.6358823529436,3662.0390900293205
3647.5276750700277,3659.512641630795
3652.0675350140045,3655.9541911779233
3654.259019607844,3653.278145017595
3648.0373669467795,3651.870619064781
3651.7442577030815,3650.925030431612
3652.084089635854,3650.528608857453
3644.957675070027,3650.281029223379
3638.632240896358,3648.796505056818
3635.4729131652666,3645.654728794397
3634.5594117647065,3641.762022714838
3635.586022408964,3638.342561836206
3639.561344537814,3636.3861365734892
3638.861008403361,3636.119861381275
3640.1821288515407,3636.8859197564116
3642.0999159663857,3638.1317849405536
3639.346750700281,3639.4016851681004
3637.9514285714276,3640.0026732138845
3643.2280952380943,3640.1473537945258
3647.5593557422953,3640.9745545692313
3648.7235854341734,3642.8791097066523
3649.437226890756,3645.2118814019705
3646.8530812324916,3647.092487501619
3647.3330252100836,3648.010896848731
3644.2726610644263,3647.968301172634
3640.3254061624643,3646.8937304878136
3638.2825770308123,3644.8063370883556
3638.772240896358,3642.3552396800787
3638.8718487394963,3640.350342759829
3630.419691876752,3638.546927600322
3627.0378991596626,3635.9515980958304
3625.7724089635863,3632.617893682561
3625.1059663865544,3629.43508790791
3622.972549019609,3626.8541770997736
3627.0729411764687,3625.1619311812983
3621.7278711484573,3624.341853933606
3621.5030532212895,3623.643405044186
3613.160924369748,3622.2300167210688
3608.652773109244,3619.458157337108
3607.4889355742293,3615.624000341765
3609.147422969189,3612.0366228198927
3606.180336134454,3609.4641612003325
3601.8796918767507,3607.4262441746328
3595.4362464985984,3604.9438687155916
3596.154593837534,3601.8368838055676
3599.1751820728286,3599.1764120552275
3593.4778151260507,3597.4897611352394
3590.7334453781523,3595.910196507369
3581.775966386555,3593.4422460578435
3572.2167507002796,3589.235073492735
3561.402661064426,3582.8217955680357
3558.667591036416,3574.9400223344555
3564.3354341736704,3567.8625893166295
3571.028487394959,3564.058468618594
3570.4204761904766,3563.876284316859
3572.396862745097,3565.7411706255034
3570.2778711484602,3568.030589958501
3571.4117927170873,3569.8014559390726
3570.509131652661,3570.8295968402144
3560.280672268909,3570.538472499416
3549.191428571429,3567.592460568455
3547.906106442577,3562.0726817371387
3555.8256582633067,3556.5925846415576
3556.3190196078426,3553.622523174665
3542.0676190476197,3552.129436723736
3532.446498599441,3549.1105343951804
3519.040896358542,3543.112735038804
3506.297507002801,3534.18641374621
3494.9169747899164,3523.068530581976
3501.7245938375354,3512.1100537437187
3504.6962184873955,3504.5254027697056
3512.4168067226888,3501.760879050061
3510.2403921568616,3502.827268284783
3517.272408963586,3505.8888499300515
3510.056050420166,3509.2630720339603
3504.407619047619,3510.9756835644534
3505.758683473387,3510.382602883703
3500.6655182072836,3508.455449950964
3482.5157983193285,3504.6772967551005
3470.5228571428584,3497.5533364851444
3448.584145658263,3486.648266091213
3455.369803921568,3473.813743157277
3462.4687394957987,3463.560199895205
3475.5733893557417,3459.438138911791
3477.4709243697484,3461.3341975008107
3485.5393557422963,3466.887182342917
3484.5302240896362,3473.5998837209577
3485.25543417367,3479.437124487301
3483.6910084033634,3483.26220148432
3484.709019607843,3485.131099527644
3487.5271428571427,3485.9101246112477
3486.436610644257,3486.404353620619
3485.272222222222,3486.6120937801543
